	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
arfg2	890	864	455	444	424	567	1677	1677	889	226	601	277
arfg3	312	345	284	155	26	80	194	194	380	89	216	113
arfp1	897	1225	1093	675	163	342	1031	1031	628	225	489	242
arfp2	176	233	232	80	76	89	216	216	137	31	92	33
argal	97	78	42	134	22	37	82	82	99	43	88	68
argl1	2395	5191	5285	2084	2944	2854	3851	3851	2611	551	1336	482
arh	202	180	109	103	98	122	354	354	389	153	337	135
arhg1	2142	2257	949	1100	922	790	1042	1042	1019	267	477	294
arhg2	1339	1413	712	886	597	589	1122	1122	1048	242	549	298
arhg3	168	114	24	108	62	52	204	204	412	86	189	69
arhg6	476	593	291	357	478	458	1214	1214	2725	781	1324	759
arhg7	339	375	308	211	113	156	381	381	430	152	279	141
arhg8	179	152	88	102	325	1121	8018	8018	903	285	399	336
arhga	124	212	176	114	38	50	133	133	317	92	265	71
arhgb	189	217	134	168	170	192	470	470	1133	286	728	396
arhgc	116	116	139	87	70	171	1944	1944	1148	322	929	457
arhgh	22	29	30	10	38	55	184	184	87	18	100	38
arhgi	695	637	269	373	193	236	435	435	1161	284	484	282
arhgp	27	43	38	15	40	29	41	41	123	33	72	41
arhl2	375	574	677	241	149	166	340	340	286	67	218	105
ari1	54	50	42	33	64	114	518	518	478	130	205	141
ari1a	1095	1201	746	657	450	616	1930	1930	1385	408	634	466
ari1b	379	359	358	230	124	217	645	645	565	128	303	180
ari2	153	179	147	101	49	88	365	365	185	63	112	55
ari4a	1120	1635	1017	842	257	340	1659	1659	2517	788	1386	708
ari4b	1006	1299	804	696	336	427	1325	1325	1034	321	501	306
ari5a	620	430	690	278	50	56	94	94	503	150	209	130
ari5b	147	171	92	131	37	68	180	180	223	55	139	90
arid2	202	218	208	176	135	149	1148	1148	550	155	276	180
arip4	36	40	6	35	20	21	150	150	127	23	98	47
arl16	124	222	118	82	74	86	163	163	62	38	72	33
arl4a	283	334	598	118	234	491	4603	4603	379	129	413	94
arl5a	668	1018	626	630	95	146	803	803	360	89	251	133
arl8b	613	563	516	417	307	620	1492	1492	662	203	480	248
arly	74	93	150	60	38	47	75	75	200	76	111	70
arm10	153	204	94	119	52	105	616	616	324	77	323	114
arm12	40	43	53	31	67	77	122	122	102	27	96	39
armc1	207	332	172	175	164	279	1518	1518	468	154	351	163
armc5	107	111	45	41	75	98	200	200	179	45	105	53
armc6	181	181	47	72	65	93	217	217	128	45	85	32
armc7	110	107	47	67	315	308	518	518	525	190	277	141
armc8	132	158	100	88	100	171	438	438	203	52	110	75
armx1	35	57	41	20	20	17	54	54	507	161	459	165
armx2	86	113	81	75	20	10	22	22	577	155	342	108
armx3	502	648	539	367	175	277	966	966	1617	506	1249	466
arnt	164	126	81	120	84	154	623	623	363	101	285	142
arnt2	26	26	24	18	28	55	215	215	20	3	27	13
arp19	1472	2139	967	1086	105	195	1104	1104	2610	953	1755	927
arp2	2762	2870	1349	2068	1595	2527	10990	10990	15869	5745	8205	4983
